MEAN OF STE,MEAN OF ZC,VARIANCE OF STE,VARIANCE OF ZC,Q(STE) AT 25%,Q(STE) AT 50%,Q(STE) AT 75%,Q(STE) AT 100%,Q(ZC) AT 25%,Q(ZC) AT 50%,Q(ZC) AT 75%,Q(ZC) AT 100%,LABEL
56.89556954,121.0416667,1024.885014,4865.259058,32.68786728,46.26271833,64.7575512,86.36638524,72.7,86.2,101.5,172.7,0
77.91642957,126.34375,4857.843575,4239.200605,6.957924526,46.64344746,87.10701843,140.909094,81.8,102.5,115.9,160.5,0
72.66871612,111.71875,3688.563317,2395.563508,2.183769683,54.2137731,94.38665641,128.4894181,75.9,91.6,106,147.8,0
60.85826536,137.71875,3530.393157,7242.789315,1.75352595,32.36051907,59.23953591,120.3740401,82.9,100.6,123.4,160.5,0
61.47570518,131.3125,3689.357891,7430.931452,2.700385019,33.66405102,65.25406963,104.8246662,78,93.9,107.4,154,0
69.73384035,118.78125,4608.16115,3672.950605,1.582685238,41.67259732,59.08205596,132.9113146,80.6,90.6,111.3,144.8,0
63.7823531,122.84375,3099.698633,5104.78125,2.747615882,39.52475316,82.9998685,106.2962177,78.8,89.5,106,160.8,0
63.7823531,122.84375,3099.698633,5104.78125,2.747615882,39.52475316,82.9998685,106.2962177,78.8,89.5,106,160.8,0
92.75973559,129.375,6689.843596,5372.177419,2.849174427,53.11065909,99.6654522,179.7377883,80.6,91.3,113.7,162.9,0
89.74626956,120.03125,5107.973104,3340.353831,2.214710086,60.03294049,114.2889104,161.2654186,81.8,97,117.6,155.1,0
72.50137844,145.375,5216.749781,3389.983871,1.799939473,30.69,73.79416003,153.1528574,101.8,123.3,141.7,175.2,0
84.50451922,142.03125,8807.942167,3720.160282,1.83496892,30.75542146,85.5126579,173.4598078,94.9,105.6,148.3,173,0
30.24936279,154.1875,1032.44803,5655.705645,0.88922531,13.85607595,36.18460443,50.22980089,98,115.7,130.4,218.9,0
70.66128719,133.78125,13754.40965,4448.757056,1.378276992,10.13887472,31.72787171,91.01934159,81.5,107.7,127.4,164.3,0
34.54720687,136,1339.159369,3660.645161,1.191573928,15.70197722,34.7616377,76.73704971,94.9,109.8,125.4,168.7,0
64.33029835,139.53125,8213.715649,4531.095766,1.617627086,11.36057019,44.51039873,91.01934159,82,119.2,134.5,170.5,0
55.99630892,139.4375,5329.486214,5353.350806,1.174842651,12.09976168,44.34483292,98.83126173,82,117.1,129.5,164.3,0
43.23232639,145.375,2218.256181,5311.532258,1.160449196,12.20264962,43.61876056,87.44618409,102.2,117.3,129.5,153.5,0
40.55708572,144.40625,2037.55169,3541.023185,1.160449196,11.3604199,45.36180842,87.44618409,95,122.3,145.7,178.3,0
37.0227181,150.5,1556.897397,3697.419355,1.204004103,11.02883926,41.32406216,86.89968827,103.9,123,149.2,189.5,0
49.81701614,124.3125,4265.693649,7688.092742,1.799939473,15.3226668,37.64360245,79.29399373,63.9,79.9,115.5,136.1,0
41.16065493,119.15625,3295.544471,5970.587702,1.174842651,9.268971017,19.3053687,75.266879,67.9,82,111.8,131.1,0
74.28034179,119.90625,9928.513478,7196.926411,1.166071838,11.40783609,57.23659742,127.5628689,56.9,82,100.5,132.7,0
36.62722768,116.5,1475.246963,6191.225806,1.799939473,11.32748782,33.48458188,75.97424147,67,82,91.1,133.7,0
66.01973657,117.28125,5546.20634,5576.53125,1.799939473,13.64790314,64.05150096,138.3749178,66.9,82,102,136.9,0
50.67516469,118.875,3863.513372,6421.983871,1.799939473,11.32748782,39.96934378,108.6706167,65.9,80.6,104.7,131.8,0
32.55233836,117.25,1862.05226,4938.709677,1.180511355,9.612474134,27.87940019,59.19510536,71.6,82.3,107.1,137.8,0
32.98824208,115.21875,1580.342676,4442.176411,1.189164341,11.32748782,29.82172783,52.75386526,68,89.3,109,131.2,0
37.68618265,118.875,2536.430901,5649.145161,0.806912249,8.498011418,22.24656995,67.24337716,66.8,81,103.5,140.5,0
53.33927756,120.0625,8575.064658,5461.28629,1.180963961,9.990903496,19.43691356,69.70009851,71.1,84.4,106.7,141.9,0
20.59142164,116.28125,540.3586162,3019.821573,1.180963961,8.011188931,17.58950978,37.06973896,65,95.6,112.6,163.1,0
38.14212123,113.78125,2926.805165,3944.176411,0.95702029,7.176069484,21.26734688,66.80662548,69.8,85.9,104.1,126.5,0
25.13497969,115.09375,900.258642,4360.861895,3.029396867,7.035587854,13.84851488,58.12451238,65.7,82,96.5,167.1,0
22.29036957,113.21875,928.0691064,3397.144153,1.436371038,7.484563785,9.738537145,42.08320505,75.2,87.3,99.4,137.3,0
24.80373843,111.78125,1222.778248,4247.724798,3.65296797,5.919802453,9.149908159,46.175467,67.5,81,98.6,148.6,0
22.90724272,118.46875,858.6488518,6983.611895,2.662005746,8.180896198,14.41694318,40.16733986,68.8,79.6,91.8,141.4,0
11.87800308,123,174.1701936,6483.870968,1.105717145,5.101696593,10.12471885,19.38357644,69,82,105.4,141.8,0
23.34418824,125.5625,1196.783514,7668.96371,1.105717145,5.666264728,12.76029824,53.22827664,66.9,82,110.2,148.9,0
23.34418824,125.5625,1196.783514,7668.96371,1.105717145,5.666264728,12.76029824,53.22827664,66.9,82,110.2,148.9,0
39.42269326,111.75,3127.130273,4837.419355,1.105717145,9.480716099,29.21764455,67.52950757,64,81.3,101.7,118.1,0
27.08293696,138.4375,870.8650843,7212.770161,1.267594924,9.572448172,19.65022059,56.54909996,78.7,89.2,125.5,186.3,0
32.06813239,117.4375,1850.315055,5244.641129,3.292630061,7.756994776,18.31967303,59.40103921,75.4,88,100.9,150.6,0
43.28919295,130.75,2856.582802,8714.516129,2.408521412,15.24224364,31.83822879,87.52110456,75.8,82,91.5,183.1,0
36.19975247,133.40625,1856.005065,7421.345766,1.342159828,8.373509859,42.98616245,64.39975889,76.9,83.2,104.9,178,0
40.3773676,116.09375,3187.735394,5262.861895,3.591830386,10.14129335,19.71881122,76.08331781,73,81.3,95.7,152.4,0
37.09947181,124.9375,3281.195038,6462.383065,2.531932764,9.287142941,22.54633204,53.16616598,70,82,100.2,158.7,0
37.54450703,118.25,2693.49018,5807.548387,1.342159828,6.267995862,24.59398708,67.75547889,72.4,83.8,95.7,145.9,0
34.25249179,120.53125,2257.521655,6156.063508,3.534851258,7.871133776,19.8948238,73.38043346,75.6,82,94.4,146.1,0
34.58192501,114.59375,2231.394671,4409.990927,1.342159828,5.079640718,17.22690399,76.59998565,73.7,82,94.4,146.1,0
33.66815185,117.96875,1908.558022,4632.740927,1.201907174,4.499751789,25.76060457,73.47449172,75.7,88,97,146.1,0
93.00992537,97.19230769,11415.2175,800.8015385,6.613624413,15.55736194,76.68826206,181.2573448,67.2,89.1,103.5,123.5,1
103.5096769,93.37037037,11350.48726,617.9344729,4.004078897,40.50438071,111.4446013,216.3678184,68.7,81.3,106.7,114.1,1
81.77075649,93.96296296,6869.748976,647.960114,4.593760153,21.43628568,92.41611869,169.0731356,67.6,82.6,107.7,121,1
98.57291336,97.2962963,13448.30968,620.9088319,3.871879072,14.45694093,82.53159532,210.2632211,71.8,86.2,114.4,120.1,1
96.80411396,94.21428571,9714.342277,1301.804233,3.103698508,31.00119982,111.878813,210.724616,61.1,72,106.3,132.8,1
73.25274668,92.78571429,5538.265449,1347.507937,4.499363643,17.36155923,90.35701395,156.8017385,59,64.7,97.6,117.9,1
90.0021879,90.53571429,7767.592533,885.5912698,2.986876524,32.06591273,94.71687166,175.6435563,62.2,72.7,99.3,117.7,1
95.49417213,91.21428571,9772.62337,749.8042328,2.340600675,39.71367866,82.00911771,203.8622178,63.1,78,96.7,117.8,1
110.6795173,90.35714286,12286.72011,748.8306878,2.45661245,61.70243169,114.6679911,233.9954608,63.1,75.2,99.7,116.6,1
72.49484671,97.07142857,5679.800582,901.4761905,4.15910924,27.0613049,66.14678882,143.277768,64.2,89.7,106.8,122.2,1
59.96061866,117.9285714,3630.197656,2282.661376,9.254201038,25.55922034,54.39828324,123.5570151,88,91.4,114.1,159.6,1
57.66845046,110.5714286,3935.076844,1402.179894,3.729556919,16.83233219,51.79377667,121.0545378,82.7,94.8,113.2,130.4,1
57.1816753,120.4642857,3555.484028,2013.146825,6.42115686,17.02303101,68.4859954,110.1902406,84.5,107.8,116.5,164.6,1
46.21799448,118.4285714,3422.610249,2015.809524,2.885161146,10.31529362,29.6324103,79.9158601,86,92.7,126.1,147.2,1
41.78940185,128.9285714,2692.642219,3672.365079,5.126521614,12.60175302,24.40378685,76.33138885,89.1,99.5,126.6,171.6,1
42.64241476,127.8571429,2640.248346,2988.126984,4.741519434,10.31529362,36.02262333,79.9158601,89.1,102.7,127.8,190.1,1
56.21445631,128.7142857,4094.89023,3515.619048,6.014200096,22.2702042,51.57038349,82.66959786,89.1,100.1,116.8,160.9,1
50.50966851,122.5357143,3009.226003,2297.072751,9.279540359,17.16084883,49.58144847,82.73025512,89.1,95,123.3,165.6,1
50.50923496,120.8214286,2916.259664,2368.152116,5.772961091,22.05018772,50.66382296,86.64541967,89.1,98.1,123.6,149.7,1
48.58196011,112.75,3135.98861,2043.675926,4.602851212,13.06541214,44.47757168,81.27082586,84.1,91.4,99.6,141.3,1
52.56896345,89.82142857,7243.242139,409.2632275,2.155607202,9.245792709,15.07869133,95.18947025,71.5,85,92.6,102.9,1
61.42228796,95.42857143,9590.898787,537.3650794,2.184431647,8.568532597,19.24746947,122.5732886,76.2,88.4,94,117,1
55.91021462,91.57142857,7368.6763,416.2539683,0.640939342,9.234790208,24.96694045,100.7732066,71,89.7,97.6,110.9,1
55.50301061,91.53571429,7172.927719,404.5542328,0.665361542,8.935441878,24.53573934,114.1894312,71,88.1,99.6,108,1
50.69762488,92.46428571,7012.87079,495.6653439,4.266099255,10.31529362,21.86635665,80.5397808,68.3,89.7,102.3,115.6,1
62.96569176,89.64285714,11242.89139,478.7566138,1.13150487,5.660434178,15.51067448,121.6482975,64.7,83.8,92.6,106.8,1
49.04905957,92,6360.58742,373.6296296,1.29710867,8.013503784,21.52107412,79.9158601,71.5,90.4,98,109.8,1
38.99612476,100.6071429,4003.680563,547.0621693,1.311073041,8.833558038,15.54776561,64.41542839,78.1,96.2,111.3,119.8,1
36.86621515,102.8571429,4031.589661,641.7566138,0.890137063,4.045175026,10.25177611,64.41542839,78.1,96.2,115.6,128.7,1
41.94528045,102.9285714,5322.375961,662.3650794,1.861907548,8.712438192,17.94902263,64.41542839,75.6,99.7,111,124,1
24.6515457,119.7142857,576.0753509,2039.693122,1.912212474,7.765097169,32.06136628,46.09107089,80.4,107.7,122.1,140.5,1
50.82683087,117.7333333,2190.559065,1090.271264,4.265711909,13.91921474,75.62134506,96.11536586,89.5,112.5,124,141.5,1
40.60292087,116.0333333,1601.251986,1117.964368,4.394992564,9.386680676,44.45256319,81.69770178,89.5,112,119,130.5,1
45.15611323,121.1666667,2594.146106,857.9367816,2.153011559,5.254951525,43.70487406,102.3609613,97.5,117.5,124,132.5,1
53.88958104,125.5333333,2739.606472,1918.188506,4.943928077,11.24738699,71.79373129,111.5262615,90.5,115.5,127,137,1
22.97799661,126.9,865.4174544,2206.093103,1.052000431,5.004437428,10.48804056,62.94645506,96,115.5,128.5,138.5,1
49.43861251,119.5333333,2946.511511,1112.464368,4.17421855,9.028236036,43.50178842,113.5017433,91.5,104.5,121.5,147,1
49.43861251,119.5333333,2946.511511,1112.464368,4.17421855,9.028236036,43.50178842,113.5017433,91.5,104.5,121.5,147,1
32.41354418,119.3,1300.535992,1293.32069,2.114178592,9.028236036,32.51234769,54.41284735,89,104,122.5,142,1
41.10075631,116.3,1595.368184,1664.631034,1.468902924,15.83497991,46.32064389,68.74622505,85.5,99,116.5,148,1
46.28719265,92.46666667,2537.260861,261.9816092,9.028236036,15.53358849,45.76539863,71.06886409,80,86,94,105.5,1
35.27112927,92.8,3185.804966,292.0275862,4.211032763,9.027881,13.38193636,59.64988061,78,86.5,92.5,110,1
35.20804244,93.96666667,3256.233511,378.3091954,6.717248514,10.41650341,17.5870489,40.0453313,79,86.5,95,111,1
47.79745359,85.56666667,5601.594803,363.9781609,5.968854116,9.94514536,21.16874385,66.08353454,69.5,77.5,86.5,98,1
39.01776093,91.83333333,4140.230589,380.2816092,5.695097196,9.706541035,17.98504126,34.78745938,71.5,86.5,99,110,1
27.44920814,89.7,2055.938503,353.3896552,4.973195929,8.75252256,12.06900673,23.92725524,76,85.5,93.5,99.5,1
45.09193623,84.03333333,6582.976584,317.3436782,4.366378542,9.706541035,15.30312453,34.11652733,66,78,88,95.5,1
42.210054,92.83333333,5766.697536,514.3505747,4.355787068,7.404792717,9.706541035,48.57773438,73,84,93,113,1
43.14546948,89.96666667,2878.70331,392.654023,8.029149292,13.79394869,26.1298537,63.5166516,67,83.5,92.5,107.5,1
43.90531226,87.93333333,4193.917732,369.8574713,7.705604324,12.89469557,25.67638973,48.57803511,69.5,78.5,89,110.5,1
85.81717791,112.56,7766.246532,344.6733333,3.022506197,39.8100378,83.96078361,157.1797938,90.5,107.5,118.5,129,2
102.2732228,99.34615385,10007.36182,640.1553846,2.362249637,44.17936657,111.1593406,202.6833111,72.7,90.9,101,114.2,2
66.1552174,110.2692308,3744.290066,724.4446154,2.362551066,32.13046603,80.42728338,126.2211623,85.8,100,116.1,129.1,2
83.58792345,109.6923077,7230.109004,495.9815385,2.443675109,27.91231543,78.49159931,175.319493,86,105.7,116.4,131.9,2
58.28370035,109.1851852,3944.737069,425.002849,2.446698244,22.02973349,55.07746492,106.0546032,89.9,104.6,114.8,127.1,2
70.47864177,106.962963,5007.565719,513.8831909,1.63006809,32.00013284,73.40526002,163.0248515,84.7,95.3,110.9,127.4,2
78.27362035,100.3333333,6564.352546,534.3076923,1.260419493,28.10895096,91.44880518,155.8528039,80.7,92.9,106.4,115.9,2
119.4176567,104.9259259,12612.22391,516.5327635,1.980898823,58.55508144,137.8405287,246.6287493,82.9,97.9,113,128,2
95.36718624,99.77777778,10513.18684,305.3333333,1.349632851,22.12965361,91.13528767,209.636836,85.8,95,106.7,118.1,2
98.54734277,98.88888889,9997.282201,621.1794872,2.200190029,41.170172,102.7466693,197.4474212,72.9,90.3,100.7,113.4,2
32.22091851,145.4444444,1564.082563,3090.410256,1.65771781,8.278032833,19.46574945,76.69255893,87,130.5,159.2,203.1,2
30.01562767,130.5925926,1618.296082,2205.173789,1.603160529,4.719382953,16.20738508,74.39901764,86.3,116,136.4,185.7,2
29.74693765,130.5925926,1496.687737,2101.019943,2.057644307,4.72553465,16.01636366,76.04713209,87,112.4,140.6,171.9,2
30.26470842,135.5185185,1520.347073,2510.951567,2.057644307,3.967255612,16.77994212,72.56904039,87,114.5,143.6,192.3,2
31.56161484,143.037037,1350.367438,3543.729345,2.027130094,10.79750597,25.60740749,69.77371011,85.6,112.9,159.6,205.8,2
30.12808388,137.1111111,1539.294327,2548.25641,1.515425518,4.991009356,16.01636366,72.82038299,87,119.8,144.2,181.1,2
30.9139284,135.6296296,1664.555561,3340.549858,1.646482844,6.138645058,14.24639406,73.61448321,86.3,111.5,133.4,190.3,2
29.12321847,121.6296296,1581.49438,1909.703704,1.620467473,4.919246695,12.97283277,75.62411216,82.7,100.9,120.4,158.5,2
33.4110356,134.6296296,1417.935352,2177.011396,2.403230812,8.968227872,30.94680993,70.49335446,87,114.3,158.1,181.1,2
30.25901772,129.7407407,1605.343869,2223.353276,1.603160529,5.761086267,16.20738508,74.39901764,86.3,111.5,136.4,185.7,2
40.59653932,84.55555556,2022.329363,445.3333333,2.431939211,9.856212746,34.21344069,90.13501391,66.7,75.1,92,107.3,2
59.91941718,92.62962963,5650.793668,647.0883191,3.097449379,13.98490726,36.43288496,118.0226056,72.9,82.1,95.4,115.3,2
57.85167605,83.96296296,3726.567823,466.8831909,1.691348973,13.53342948,68.02054571,111.1593406,63.7,74.2,89.1,106.1,2
49.0904627,83.03703704,2649.910698,457.037037,1.65324098,17.39749709,40.7937799,109.9197718,63.9,73.6,87,99,2
58.8471854,88.96296296,5612.354089,596.5754986,1.620864065,12.62056864,36.10299924,124.6471303,67,81.3,89.1,110,2
74.90395032,89.11111111,9178.0436,572.9487179,1.636719966,22.95889213,58.80411136,126.3782007,71.9,79.3,88.4,99.6,2
72.28202678,77.22222222,7264.677696,345.7948718,1.622584472,20.79111961,67.89356579,129.6806588,55.7,72.3,87,95.2,2
72.78717424,86.2962963,8062.932275,446.2165242,0.921865767,13.97169401,71.11416071,130.1401261,66.7,76.3,92.8,104.3,2
73.92205316,94.51851852,8371.785689,476.7207977,1.622584472,16.60695531,68.6425839,111.7221301,73.9,87,97.7,115.3,2
73.92205316,94.51851852,8371.785689,476.7207977,1.622584472,16.60695531,68.6425839,111.7221301,73.9,87,97.7,115.3,2
52.03916467,120.0333333,3941.226764,849.6885057,1.633837301,15.02691365,50.60268992,76.34237214,100.5,109.5,116,151.5,2
40.24307103,105.0857143,1868.434612,627.3159664,1.554458041,15.412869,41.42249773,67.43590822,78.5,104,114,127.5,2
41.44124698,115.8857143,2205.228326,547.1042017,1.926950505,12.72668692,39.77343491,79.09314358,99,107,119.5,138.5,2
41.46370827,105.8857143,2489.739964,871.4571429,1.179439749,12.33198183,41.98488742,61.45834934,84.5,94.5,104.5,141,2
42.30915997,109.8857143,2072.12882,594.2218487,1.939820825,7.222152602,41.9599623,94.08541657,87.5,99.5,109,135,2
41.29008912,108.8285714,2119.421629,549.8521008,1.653187285,10.55576177,37.53776329,80.69094487,89,98,109.5,137,2
47.34479897,110.1142857,2961.880929,657.0453782,2.309946693,14.65735693,43.30030096,86.573765,81,104,119.5,136,2
57.54460338,96.57142857,4077.85351,301.1344538,2.412719884,17.29332124,60.28064811,100.3004287,82.5,88,104,114,2
52.11039304,110.8285714,3588.71782,522.3226891,1.648130376,14.57153058,49.22676615,98.47273954,92.5,104.5,120.5,130.5,2
45.14695198,107.4,2362.121725,463.3647059,1.365245143,15.66698494,40.27471968,95.41958503,89.5,98.5,110,127.5,2
35.6873077,113.9428571,1729.833096,1386.055462,3.800143835,14.60026898,24.51906652,76.33159935,86,90.5,109.5,136.5,2
29.8871655,103.4857143,1115.775046,1156.551261,4.582698465,9.24700517,22.01950359,60.67087014,78.5,89,96,128,2
30.10462883,102.0285714,934.8020374,1567.734454,2.951591414,9.935123685,28.18649231,57.73316871,77,81.5,92.5,134,2
28.3538771,100.8571429,1256.170096,1173.714286,3.397889538,7.523983895,20.74134799,53.8913809,76.5,88,98,121,2
32.38961539,101.3714286,1290.57566,918.2403361,3.98766646,10.24870351,26.69894337,67.08570735,79,88.5,101.5,128.5,2
26.44214566,106.8571429,1091.013137,986.302521,2.873750126,5.997062385,16.82348078,58.11324439,83,88,110.5,130.5,2
29.74251159,105.1428571,1012.087163,1311.94958,3.198338423,9.581981658,24.74612991,50.54030576,79,89,100,135.5,2
33.15604115,101.1714286,1762.823302,981.3815126,3.682371707,8.32097965,19.84185953,76.60375181,80,90,98,122,2
28.11827321,97.57142857,1094.302975,1242.957983,3.32802508,7.639802355,19.82289013,52.05641388,71,82.5,95.5,120.5,2
27.0573217,98.05714286,1018.844551,1193.055462,3.804410237,7.615282413,19.91507417,54.55319598,67,82.5,99,121,2
66.89464086,88.30434783,5047.468973,655.7667984,6.275985179,32.21929356,59.60740911,132.9347895,65.7,80.7,95.3,109.7,3
53.81312904,78.04347826,3986.61704,548.1343874,4.559171042,19.15686478,32.70815789,136.9358063,53.4,71.1,83,100.8,3
48.40362206,87.34615385,3905.484088,581.5153846,3.095154419,17.40314438,38.27967434,81.41013607,68.7,80,87.8,107.6,3
83.94004131,84.76923077,5758.805901,491.7846154,11.02478896,42.70057306,78.85368683,160.2583327,59.4,84.8,92.3,101.2,3
82.12135548,82.11538462,9535.924505,466.4261538,2.872738788,22.5807771,62.830537,194.3003038,57.8,79.9,87.1,101.6,3
70.68032257,83.11111111,5951.28897,424.5641026,3.524639174,30.89236594,48.55772017,162.0848329,57.5,82.3,94,103,3
53.60069928,86.07407407,3543.779873,598.5327635,2.26266462,23.91111929,46.98361102,93.44204054,61,77.4,89.8,112.2,3
51.67314869,89.81481481,3375.29906,576.6182336,3.276373325,17.45022651,41.08332336,109.2554916,65.4,85.6,104.4,112.1,3
66.95593049,82.85185185,5270.676177,620.2079772,1.952034093,28.97428461,58.28895443,153.3817489,53.8,78.6,91.7,104.1,3
54.90505547,82,3860.620641,466.6923077,5.542081334,22.95396914,46.94187317,79.49924531,61.2,77.9,87.7,100.2,3
45.05899967,119,4271.576108,1660.461538,3.184645814,15.13751697,21.27173399,79.67048543,83.9,101.6,118.1,159,3
42.6693054,117.0740741,2402.613508,2478.763533,3.783782297,14.92292577,30.78281101,100.4134246,67.9,88,129.4,161,3
47.89496498,120.5185185,4387.442561,2451.643875,3.454299156,14.17471022,28.43328341,91.60234383,87.9,97.6,110.4,146.8,3
